Recipe ID,Recipe Title,Recipe Category,Recipe Ingredients Quantities,Recipe Instructions,Description,Blood Pressure,Blood Sugar,High Cholesterol,Diabetes,Allergies_Meat,Allergies_Eggs,Allergies_Fish,Allergies_Peanuts,Gluten-Free,Lactose-Intolerant,Vegan,Vegetarian
1,Chapati,Bread,"All-Purpose Flour (2 cups), Water (1 cup), Salt (1/2 tsp), Oil (2 tbsp)","1. Mix flour, salt, and water to form a dough. 2. Divide into balls. 3. Roll into flat circles. 4. Cook on a griddle.","Soft and flaky Kenyan flatbread",#,#,#,#,,,,#,
2,Nyama Fry,Meat,"Beef (500g), Soy Sauce (2 tbsp), Garlic (3 cloves), Ginger (1 tsp)","1. Marinate beef in soy sauce, garlic, and ginger. 2. Fry until browned. 3. Serve with a side of vegetables.","Flavorful stir-fried meat dish",#,#,#,#,,,,,#,
3,Ugali,Staple,"Maize Flour (2 cups), Water (3 cups)","1. Boil water. 2. Gradually add maize flour, stirring to avoid lumps. 3. Cook until a thick consistency is achieved.","Staple Kenyan dish made from maize flour",#,#,#,#,,,,#,
4,Sukuma Wiki and Rice,Main Dish,"Sukuma Wiki (200g), Rice (1 cup), Onion (1), Tomatoes (2)","1. Cook rice. 2. Saute onions and tomatoes. 3. Add Sukuma Wiki and stir until cooked. 4. Serve over rice.","Balanced and nutritious meal with greens and rice",#,#,#,#,,,,#,
5,Fish Stew,Seafood,"Tilapia Fillets (4), Coconut Milk (1 cup), Tomatoes (3), Curry Powder (1 tsp)","1. Cook fish in coconut milk. 2. Add tomatoes and curry powder. 3. Simmer until fish is tender.","A flavorful fish stew with a hint of coconut",#,#,#,#,,,,,#,
6,Samosa,Snack,"Potatoes (2), Peas (1/2 cup), Ground Beef (200g), Flour (1 cup)","1. Boil and mash potatoes. 2. Mix with peas and cooked ground beef. 3. Fill into samosa wrappers and fry.","Triangular pastries filled with spiced potatoes, peas, and meat",#,#,#,#,#,#,#,#,#,#,
7,Kachumbari,Salad,"Tomatoes (4), Onions (1), Cilantro (1/4 cup), Lemon Juice (2 tbsp)","1. Dice tomatoes and onions. 2. Mix with chopped cilantro. 3. Drizzle with lemon juice.","Fresh and tangy Kenyan tomato and onion salad",#,#,#,#,#,#,#,#,#,#,
8,Matoke,Main Dish,"Green Bananas (4), Coconut Milk (1 cup), Onions (1), Garlic (2 cloves)","1. Cook chopped bananas in coconut milk. 2. Saute onions and garlic. 3. Mix together and simmer.","A traditional dish made with green bananas and coconut milk",#,#,#,#,,,,#,
9,Kenyan Tea,Beverage,"Black Tea Leaves (2 tsp), Water (1 cup), Milk (1/4 cup), Sugar (to taste)","1. Boil tea leaves in water. 2. Add milk and sugar. 3. Strain and serve hot.","Strong and sweet tea enjoyed widely in Kenya",#,#,#,#,,,,,#,
10,Chicken Pilau,Main Dish,"Chicken (500g), Basmati Rice (1 cup), Onions (1), Pilau Masala (2 tsp)","1. Cook rice. 2. Saute onions. 3. Add chicken and pilau masala. 4. Combine with rice.","A fragrant and spiced chicken and rice dish",#,#,#,#,,,,,#,
11,Grilled Tilapia,Seafood,"Tilapia Fillets (4), Lemon Juice (2 tbsp), Garlic (2 cloves), Paprika (1 tsp)","1. Marinate fish in lemon juice, minced garlic, and paprika. 2. Grill until cooked.","Healthy and delicious grilled tilapia",#,#,#,#,,,,,#,
12,Kenyan Vegetable Curry,Vegetarian,"Mixed Vegetables (2 cups), Coconut Milk (1 cup), Curry Powder (1 tsp)","1. Cook mixed vegetables in coconut milk and curry powder. 2. Serve over rice.","A flavorful and creamy vegetarian curry",#,#,#,#,,,,,#,
13,Mandazi with Coconut,Snack,"Flour (2 cups), Sugar (1/4 cup), Coconut Milk (1 cup), Oil (for frying)","1. Mix flour, sugar, and coconut milk. 2. Cut into shapes and fry until golden.","Sweet fried dough with a coconut twist",#,#,#,#,#,#,#,#,#,#,
14,Kenyan Beef Stew,Main Dish,"Beef Stew Meat (500g), Potatoes (2), Carrots (2), Tomato Paste (2 tbsp)","1. Brown beef. 2. Add diced potatoes, carrots, and tomato paste. 3. Simmer until tender.","Hearty and comforting beef stew",#,#,#,#,,,,,#,
15,Chapati Rolls with Veggies,Bread,"Chapati (4), Mixed Vegetables (1 cup), Mayonnaise (2 tbsp)","1. Saute mixed vegetables. 2. Spread mayonnaise on chapati, fill with veggies, and roll.","A tasty and portable meal with chapati and colorful veggies",#,#,#,#,#,#,#,#,#,#,
16,Coconut Rice,Side Dish,"Basmati Rice (1 cup), Coconut Milk (1 cup), Peas (1/2 cup), Turmeric (1/2 tsp)","1. Cook rice in coconut milk. 2. Add peas and turmeric for color. 3. Fluff and serve.","Fragrant and flavorful coconut-infused rice",#,#,#,#,,,,#,
17,Swahili Chicken Curry,Main Dish,"Chicken (500g), Coconut Milk (1 cup), Onions (1), Curry Powder (1 tsp)","1. Cook chicken in coconut milk and curry powder. 2. Garnish with sauteed onions.","A Swahili-inspired chicken curry",#,#,#,#,,,,,#,
18,Kenyan Mango Salad,Salad,"Mangoes (2), Avocado (1), Red Onion (1), Lime Juice (2 tbsp)","1. Dice mangoes, avocados, and red onion. 2. Drizzle with lime juice.","A refreshing Kenyan salad with mangoes, avocados, and red onion",#,#,#,#,#,#,#,#,#,#,
19,Managu Stew,Main Dish,"Managu Leaves (300g), Tomatoes (3), Onion (1), Garlic (2 cloves), Vegetable Oil (2 tbsp)","1. Saute onions and garlic. 2. Add chopped tomatoes. 3. Stir in Managu leaves until wilted. 4. Simmer until flavors meld.","A flavorful Kenyan stew featuring nutritious Managu leaves",#,#,#,#,#,#,#,#,#,#,
20,Mandazi Delight,Snack,"Flour (2 cups), Coconut Milk (1 cup), Sugar (1/4 cup), Baking Powder (1 tsp), Oil (for frying)","1. Combine flour, sugar, and baking powder. 2. Mix in coconut milk. 3. Cut into shapes and fry until golden.","A sweet and coconut-infused twist on traditional Mandazi",#,#,#,#,#,#,#,#,#,#,
21,Sukuma Wiki Wrap,Main Dish,"Sukuma Wiki (200g), Whole Wheat Tortillas (4), Avocado (1), Lemon Juice (1 tbsp), Salt (to taste)","1. Saute Sukuma Wiki until tender. 2. Fill tortillas with Sukuma Wiki, sliced avocado, and a drizzle of lemon juice.","A wholesome and green wrap featuring Sukuma Wiki",#,#,#,#,#,#,#,#,#,#,
22,Chapati Pizza,Bread,"Chapati (2), Tomato Sauce (1/2 cup), Cheese (1 cup), Bell Peppers (1), Onion (1)","1. Spread tomato sauce on chapati. 2. Sprinkle with cheese, bell peppers, and onions. 3. Bake until cheese melts.","A Kenyan fusion delight - pizza with a Chapati crust",#,#,#,#,#,#,#,#,#,#,
23,Kenyan Masala Chai,Beverage,"Black Tea Leaves (2 tsp), Water (1 cup), Milk (1/4 cup), Cardamom (2 pods), Cinnamon (1 stick), Ginger (1 tsp), Sugar (to taste)","1. Boil tea leaves, water, and spices. 2. Add milk and sugar. 3. Strain and enjoy a fragrant Masala Chai.","A spiced and aromatic tea, a favorite in Kenyan households",#,#,#,#,#,#,#,#,#,#,
24,Nyama Choma Feast,Meat,"Beef (1 kg), Salt (to taste), Black Pepper (1 tsp), Garlic (4 cloves), Vegetable Oil (2 tbsp)","1. Cut beef into chunks. 2. Season with salt, black pepper, and minced garlic. 3. Grill until charred and succulent.","A classic Kenyan BBQ dish - Nyama Choma for a festive feast",#,#,#,#,#,#,#,#,#,#,
25,Kienyeji Chicken Stew,Main Dish,"Kienyeji Chicken (1 whole), Potatoes (3), Carrots (2), Peas (1/2 cup), Tomato Paste (2 tbsp)","1. Cut chicken into pieces. 2. Brown in a pot. 3. Add diced potatoes, carrots, and tomato paste. 4. Simmer until chicken is cooked through.","A hearty stew with traditional Kienyeji Chicken",#,#,#,#,#,#,#,#,#,#,
